JOBOFFER_ID,JOBOFFER_JOBPOSITION,JOBOFFER_DATEOPENED,JOBOFFER_DATECLOSED,JOBOFFER_STATUS
1,1,2024-10-10,2024-10-31,1
2,2,2024-10-23,2024-10-31,1
3,3,2024-10-14,2024-10-31,1
4,4,2024-10-10,2024-10-31,1
5,5,2024-10-09,2024-10-31,1
6,6,2024-10-21,2024-10-31,1
7,7,2024-10-21,2024-10-31,1
8,8,2024-10-22,2024-10-31,1
9,9,2024-10-22,2024-10-31,1
10,10,2024-10-10,2024-10-31,1
11,11,2024-10-10,2024-10-31,1
12,12,2024-10-10,2024-10-31,1
13,13,2024-10-10,2024-10-31,1
14,14,2024-10-10,2024-10-31,1
15,15,2024-10-10,2024-10-31,1
