JOBPOSITION_ID,JOBPOSITION_NUMBER,JOBPOSITION_ROLE,JOBPOSITION_TYPE,JOBPOSITION_STATUS,JOBPOSITION_TEAM,JOBPOSITION_DATEOPENED,JOBPOSITION_DATECLOSED
1,JP00000001,1,1,1,1,2024-10-10,2024-10-31
2,JP00000002,1,1,1,1,2024-10-23,2024-10-31
3,JP00000003,2,3,1,2,2024-10-14,2024-10-31
4,JP00000004,2,3,1,2,2024-10-10,2024-10-31
5,JP00000005,3,3,1,3,2024-10-09,2024-10-31
6,JP00000006,3,3,1,3,2024-10-21,2024-10-31
7,JP00000007,4,8,1,4,2024-10-21,2024-10-31
8,JP00000008,4,8,1,4,2024-10-22,2024-10-31
9,JP00000009,5,5,1,5,2024-10-22,2024-10-31
10,JP00000010,5,5,1,5,2024-10-10,2024-10-31
11,JP00000011,2,3,1,2,2024-10-10,2024-10-31
12,JP00000012,2,3,1,2,2024-10-10,2024-10-31
13,JP00000013,3,3,1,3,2024-10-10,2024-10-31
14,JP00000014,3,3,1,3,2024-10-10,2024-10-31
15,JP00000015,3,3,1,3,2024-10-10,2024-10-31
16,JP00000016,4,8,1,4,2024-10-10,2024-10-31
17,JP00000017,4,8,1,4,2024-10-10,2024-10-31
18,JP00000018,4,8,1,4,2024-10-10,2024-10-31
19,JP00000019,5,5,1,5,2024-10-10,2024-10-31
20,JP00000020,5,5,1,5,2024-10-10,2024-10-31
21,JP00000021,5,5,1,5,2024-10-10,2024-10-31
22,JP00000022,2,3,1,2,2024-10-10,2024-10-31
23,JP00000023,2,3,1,2,2024-10-10,2024-10-31
24,JP00000024,2,3,1,2,2024-10-10,2024-10-31
25,JP00000025,3,3,1,3,2024-10-10,2024-10-31
26,JP00000026,3,3,1,3,2024-10-10,2024-10-31
27,JP00000027,3,3,1,3,2024-10-10,2024-10-31
28,JP00000028,3,3,1,3,2024-10-10,2024-10-31
29,JP00000029,4,8,1,4,2024-10-10,2024-10-31
30,JP00000030,5,5,1,5,2024-10-10,2024-10-31
